City_ID,City,Country,Date,Lat,Lng,Lng,Lng,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Tuatapere,NZ,2021-06-06 23:25:39,-46.1333,167.6833,167.6833,167.6833,167.6833,49.82,79,18,4.63
134,Qaanaaq,GL,2021-06-06 23:25:04,77.484,-69.3632,-69.3632,-69.3632,-69.3632,40.37,76,59,5.39
135,Juneau,US,2021-06-06 23:27:33,58.3019,-134.4197,-134.4197,-134.4197,-134.4197,56.84,87,75,3.0
136,Tiarei,PF,2021-06-06 23:28:09,-17.5333,-149.3333,-149.3333,-149.3333,-149.3333,86.02,74,77,11.68
137,New Norfolk,AU,2021-06-06 23:24:41,-42.7826,147.0587,147.0587,147.0587,147.0587,57.92,75,100,1.99
138,Bac Lieu,VN,2021-06-06 23:28:10,9.285,105.7244,105.7244,105.7244,105.7244,82.85,76,100,13.22
139,Sorsk,RU,2021-06-06 23:28:10,54.0033,90.2467,90.2467,90.2467,90.2467,44.83,97,55,5.48
140,Husavik,IS,2021-06-06 23:26:09,66.0449,-17.3389,-17.3389,-17.3389,-17.3389,48.11,82,72,3.38
141,Veinticinco De Mayo,AR,2021-06-06 23:28:11,-35.4323,-60.1727,-60.1727,-60.1727,-60.1727,51.06,62,95,4.0
142,Hofn,IS,2021-06-06 23:26:32,64.2539,-15.2082,-15.2082,-15.2082,-15.2082,46.99,98,95,12.75
143,Sinnamary,GF,2021-06-06 23:28:11,5.3833,-52.95,-52.95,-52.95,-52.95,76.01,89,100,5.66
144,Tiksi,RU,2021-06-06 23:24:39,71.6872,128.8694,128.8694,128.8694,128.8694,43.83,64,100,1.54
145,Bluff,NZ,2021-06-06 23:24:37,-46.6,168.3333,168.3333,168.3333,168.3333,49.8,80,61,8.32
146,Saint-Paul,RE,2021-06-06 23:28:12,-21.0096,55.2707,55.2707,55.2707,55.2707,73.51,81,54,9.73
147,Talaya,RU,2021-06-06 23:28:12,61.3833,152.75,152.75,152.75,152.75,52.18,57,31,9.55
148,Kiunga,PG,2021-06-06 23:28:13,-6.1219,141.2906,141.2906,141.2906,141.2906,75.2,98,99,2.24
149,Hobart,AU,2021-06-06 23:23:42,-42.8794,147.3294,147.3294,147.3294,147.3294,58.26,72,75,1.99
150,Lorengau,PG,2021-06-06 23:25:47,-2.0226,147.2712,147.2712,147.2712,147.2712,82.85,70,90,5.91
151,Goderich,CA,2021-06-06 23:28:13,43.7501,-81.7165,-81.7165,-81.7165,-81.7165,80.92,41,27,17.27
152,Varhaug,NO,2021-06-06 23:28:14,58.6147,5.6457,5.6457,5.6457,5.6457,52.48,85,100,9.66
153,Linjiang,CN,2021-06-06 23:28:14,41.8069,126.9078,126.9078,126.9078,126.9078,60.37,88,8,1.21
154,Montrose,US,2021-06-06 23:28:14,38.4166,-108.2673,-108.2673,-108.2673,-108.2673,76.57,12,63,16.35
155,Kindia,GN,2021-06-06 23:28:15,10.0569,-12.8658,-12.8658,-12.8658,-12.8658,73.04,94,87,3.76
156,Lugovoy,KZ,2021-06-06 23:28:15,42.9472,72.7644,72.7644,72.7644,72.7644,68.32,56,100,7.47
157,Bokhan,RU,2021-06-06 23:28:16,53.153,103.7714,103.7714,103.7714,103.7714,46.83,87,96,7.72
158,Sibolga,ID,2021-06-06 23:28:16,1.7427,98.7792,98.7792,98.7792,98.7792,74.79,79,76,3.13
159,Fortuna,US,2021-06-06 23:24:52,40.5982,-124.1573,-124.1573,-124.1573,-124.1573,71.47,59,20,5.99
160,Ponta Delgada,PT,2021-06-06 23:28:16,37.7333,-25.6667,-25.6667,-25.6667,-25.6667,65.12,82,20,5.75
161,Samarai,PG,2021-06-06 23:25:46,-10.6167,150.6667,150.6667,150.6667,150.6667,78.67,88,99,15.39
162,San Vicente,AR,2021-06-06 23:28:17,-26.6167,-54.1333,-54.1333,-54.1333,-54.1333,58.26,98,100,1.92
163,Khandyga,RU,2021-06-06 23:28:17,62.6667,135.6,135.6,135.6,135.6,61.34,58,100,5.5
164,Zeya,RU,2021-06-06 23:28:18,53.75,127.2667,127.2667,127.2667,127.2667,69.3,40,48,3.09
165,Saint-Augustin,CA,2021-06-06 23:28:18,51.226,-58.6502,-58.6502,-58.6502,-58.6502,54.97,56,64,12.17
166,Hualmay,PE,2021-06-06 23:27:14,-11.0964,-77.6139,-77.6139,-77.6139,-77.6139,64.92,83,31,10.69
167,Jalingo,NG,2021-06-06 23:28:19,8.8833,11.3667,11.3667,11.3667,11.3667,76.95,84,63,2.68
168,Saint George,US,2021-06-06 23:26:45,37.1041,-113.5841,-113.5841,-113.5841,-113.5841,102.67,11,1,4.0
169,Garh Maharaja,PK,2021-06-06 23:28:19,30.8339,71.9053,71.9053,71.9053,71.9053,93.56,29,0,9.19
170,Manokwari,ID,2021-06-06 23:28:20,-0.8667,134.0833,134.0833,134.0833,134.0833,79.77,77,100,1.21
171,Straumen,NO,2021-06-06 23:28:20,63.8709,11.2999,11.2999,11.2999,11.2999,55.4,96,100,5.08
172,Acapulco,MX,2021-06-06 23:28:20,16.8634,-99.8901,-99.8901,-99.8901,-99.8901,89.42,70,75,10.74
173,West Bay,KY,2021-06-06 23:28:21,19.3667,-81.4167,-81.4167,-81.4167,-81.4167,87.08,72,20,4.0
174,Luderitz,NA,2021-06-06 23:25:15,-26.6481,15.1594,15.1594,15.1594,15.1594,68.52,31,1,10.04
175,George Town,MY,2021-06-06 23:27:47,5.4112,100.3354,100.3354,100.3354,100.3354,80.53,92,20,2.3
176,Zhuhai,CN,2021-06-06 23:25:40,22.2769,113.5678,113.5678,113.5678,113.5678,82.11,78,40,11.3
177,Utete,TZ,2021-06-06 23:28:22,-7.986,38.758,38.758,38.758,38.758,67.46,86,0,1.95
178,Russell,US,2021-06-06 23:28:22,32.3502,-85.1999,-85.1999,-85.1999,-85.1999,83.43,83,75,4.25
179,Saint-Philippe,RE,2021-06-06 23:24:32,-21.3585,55.7679,55.7679,55.7679,55.7679,72.99,86,77,13.82
180,Salalah,OM,2021-06-06 23:28:23,17.0151,54.0924,54.0924,54.0924,54.0924,84.29,89,40,5.75
181,Micheweni,TZ,2021-06-06 23:28:23,-4.9667,39.8333,39.8333,39.8333,39.8333,78.19,75,7,16.17
182,Sao Joao Da Barra,BR,2021-06-06 23:28:24,-21.6403,-41.0511,-41.0511,-41.0511,-41.0511,74.34,85,100,13.82
183,Yerbogachen,RU,2021-06-06 23:28:24,61.2767,108.0108,108.0108,108.0108,108.0108,42.98,48,2,12.24
184,Butaritari,KI,2021-06-06 23:24:54,3.0707,172.7902,172.7902,172.7902,172.7902,82.58,72,12,8.48
185,Wanning,CN,2021-06-06 23:28:24,18.8003,110.3967,110.3967,110.3967,110.3967,79.14,91,30,3.24
