City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
119,Rio Gallegos,-51.6226,-69.2181,37.45,87,0,4.61,AR,clear sky,2021-06-07 04:21:16
120,Sfantu Gheorghe,45.8667,25.7833,56.26,87,14,1.12,RO,few clouds,2021-06-07 04:21:16
121,Grindavik,63.8424,-22.4338,48.15,93,75,6.69,IS,broken clouds,2021-06-07 04:21:16
122,Tuatapere,-46.1333,167.6833,49.82,79,6,3.33,NZ,clear sky,2021-06-07 04:21:17
123,Gualeguay,-33.1416,-59.3097,44.13,90,41,7.02,AR,scattered clouds,2021-06-07 04:21:17
124,Camacha,33.0833,-16.3333,63.36,77,40,12.66,PT,scattered clouds,2021-06-07 04:21:17
125,Nambucca Heads,-30.65,153.0,70.16,58,10,6.89,AU,clear sky,2021-06-07 04:21:18
126,Iquique,-20.2208,-70.1431,60.84,78,98,1.48,CL,overcast clouds,2021-06-07 04:17:05
127,Ostrovnoy,68.0531,39.5131,39.94,72,32,5.48,RU,scattered clouds,2021-06-07 04:21:18
128,Port Elizabeth,-33.918,25.5701,52.09,46,0,2.3,ZA,clear sky,2021-06-07 04:20:06
129,Lagoa,39.05,-27.9833,63.57,90,100,13.15,PT,overcast clouds,2021-06-07 04:21:19
130,Bluff,-46.6,168.3333,49.8,73,7,7.23,NZ,clear sky,2021-06-07 04:21:19
131,Sioux Lookout,50.1001,-91.917,68.38,56,1,8.05,CA,clear sky,2021-06-07 04:21:20
132,Daitari,21.1,85.75,93.54,42,82,7.27,IN,broken clouds,2021-06-07 04:21:20
133,Barrow,71.2906,-156.7887,32.02,86,90,13.8,US,overcast clouds,2021-06-07 04:21:20
134,Luganville,-15.5333,167.1667,77.23,80,100,10.47,VU,overcast clouds,2021-06-07 04:21:21
135,Caucasia,7.9865,-75.1935,75.76,93,100,2.33,CO,overcast clouds,2021-06-07 04:21:21
136,Talnakh,69.4865,88.3972,32.65,94,100,6.02,RU,light snow,2021-06-07 04:21:21
137,Port Keats,-14.25,129.55,85.5,29,6,7.65,AU,clear sky,2021-06-07 04:21:22
138,Labuhan,-6.8844,112.2051,87.35,61,91,2.19,ID,overcast clouds,2021-06-07 04:21:22
139,Bafq,31.6128,55.4107,96.13,7,0,6.2,IR,clear sky,2021-06-07 04:21:23
140,Muros,42.7762,-9.0603,59.23,89,74,7.92,ES,broken clouds,2021-06-07 04:21:23
141,Mubi,10.2676,13.2644,76.96,68,98,6.02,NG,light rain,2021-06-07 04:21:24
